Major Beginning of Semester	Cum GPA Beginning of Semester	Major End of Semester	Cum GPA End of Semester
Others	2.027	Others	2.041
Others	2.932	BIOL-BS	2.932
Others	2.088	Others	2.366
Others	2.531	Others	2.444
Others	3.494	Others	3.475
Others	1.813	Others	1.74
Others	1.455	Others	1.534
Others	1.706	Others	1.95
Others	1.926	Others	2.381
Others	1.755	Others	1.786
Others	3.623	Others	3.685
Others	2.088	Others	2.088
Others	1.738	CS-BS	1.707
Others	2.386	Others	2.463
Others	3.516	Others	3.557
Others	2.056	Others	2.056
Others	3.018	Others	3.018
Others	1.854	Others	1.907
Others	3.008	Others	3.098
Others	0.0	IT-BS	0.0
Others	2.991	Others	3.016
Others	0.0	BIOL-BS	3.182
Others	3.484	Others	3.493
Others	3.172	Others	3.203
CS-BS	2.623	Others	2.641
Others	1.773	Others	1.84
Others	1.923	Others	1.945
Others	0.0	Others	1.0
Others	2.538	Others	2.391
Others	2.685	Others	2.866
Others	3.338	Others	3.364
Others	2.042	Others	2.068
Others	1.81	Others	1.901
CS-BS	1.613	Others	1.659
Others	2.491	Others	2.459
Others	1.2	Others	1.556
CS-BS	3.071	BIOL-BS	3.112
Others	2.785	Others	2.857
Others	2.043	Others	2.04
Others	2.656	Others	2.762
Others	3.211	Others	3.377
MATH-BS	2.652	PHYS-BS	2.542
Others	3.813	Others	3.828
Others	3.298	Others	3.319
Others	1.891	Others	1.911
Others	1.851	Others	1.835
Others	3.977	Others	4.0
Others	0.111	Others	1.051
Others	3.378	Others	3.412
Others	2.158	Others	2.189
Others	2.231	Others	2.615
Others	3.765	Others	3.766
Others	3.859	Others	3.871
Others	3.158	Others	3.171
Others	3.622	Others	3.66
CS-BS	3.731	Others	3.758
Others	2.857	Others	2.869
IT-BS	2.604	Others	2.63
Others	2.75	Others	2.25
Others	3.442	Others	3.433
Others	2.456	Others	2.456
Others	3.458	Others	3.485
Others	2.61	Others	2.62
Others	2.467	Others	2.478
Others	2.177	Others	2.324
Others	1.657	Others	1.932
BIOL-BS	3.791	Others	3.811
Others	2.426	Others	2.477
Others	3.814	Others	3.828
Others	1.988	Others	1.92
Others	2.146	Others	2.038
Others	3.278	Others	3.275
Others	2.742	Others	2.788
Others	3.511	Others	3.511
Others	2.091	Others	1.652
Others	2.333	Others	2.387
Others	2.27	Others	2.173
Others	2.745	Others	2.757
BIOL-BS	2.083	Others	2.098
Others	2.758	Others	2.825
Others	1.507	Others	1.325
BIOL-BS	3.937	Others	3.943
Others	2.045	Others	2.096
Others	3.971	Others	3.974
Others	2.711	Others	2.679
Others	2.12	Others	2.143
CHEM-BS	2.333	PHYS-BS	2.286
Others	3.888	Others	3.882
Others	3.204	Others	3.228
Others	3.248	Others	3.248
Others	2.081	Others	2.098
Others	3.696	Others	3.719
Others	3.574	Others	3.563
Others	3.781	Others	3.791
Others	3.491	Others	3.528
Others	3.246	Others	3.282
Others	3.862	Others	3.864
Others	3.163	Others	3.023
Others	3.421	Others	3.429
Others	2.196	Others	2.139
Others	2.0	Others	2.051
Others	2.114	Others	1.929
Others	3.279	Others	3.325
Others	3.267	Others	3.301
Others	3.706	Others	3.737
Others	1.847	CS-BS	1.833
IT-BS	2.0	CHEM-BS	1.923
Others	1.725	Others	1.927
Others	3.65	Others	3.72
Others	3.151	Others	3.157
Others	2.722	Others	2.696
Others	2.378	CS-BS	2.457
Others	3.918	Others	3.926
IT-BS	2.733	Others	2.179
Others	3.556	Others	3.488
Others	2.213	Others	2.1
CS-BS	2.447	Others	2.382
Others	3.487	Others	3.462
Others	2.064	Others	2.034
BIOL-BS	3.918	Others	3.862
Others	3.252	Others	3.358
Others	2.033	Others	2.159
Others	2.283	Others	2.317
Others	2.318	Others	2.287
Others	2.645	Others	2.653
Others	2.36	Others	2.287
Others	2.034	Others	1.985
Others	2.118	Others	1.952
Others	2.941	Others	3.097
BIOL-BS	2.024	Others	1.891
CS-BS	3.571	Others	3.654
Others	2.796	Others	2.852
Others	2.679	Others	2.738
Others	2.5	Others	2.427
Others	1.797	Others	1.75
Others	1.367	Others	1.155
Others	3.154	Others	3.067
Others	3.06	Others	3.037
BIOL-BS	2.672	Others	2.831
CS-BS	2.639	Others	2.53
Others	3.2	Others	3.119
Others	2.388	Others	2.413
Others	3.47	Others	3.496
Others	2.569	Others	2.606
Others	3.5	Others	3.548
Others	2.619	Others	2.667
Others	3.805	Others	3.73
Others	3.0	Others	3.065
Others	3.557	Others	3.558
Others	2.383	Others	2.126
PHYS-BS	3.461	BIOL-BS	3.461
CS-BS	3.315	Others	3.024
Others	2.489	Others	2.59
Others	3.133	IT-BS	3.147
BIOL-BS	2.2	Others	2.2
Others	2.417	Others	2.083
Others	2.333	Others	2.152
Others	2.824	Others	2.937
Others	2.045	Others	2.085
Others	3.439	Others	3.385
Others	2.538	Others	2.471
Others	1.833	Others	1.835
Others	2.577	Others	2.609
Others	2.871	Others	2.787
Others	2.141	Others	2.026
Others	3.179	Others	3.25
Others	2.635	Others	2.621
Others	2.932	Others	2.865
Others	2.619	Others	2.545
BIOL-BS	1.979	Others	1.77
Others	3.2	BIOL-BS	3.094
PHYS-BS	4.0	Others	3.929
Others	4.0	Others	4.0
Others	3.519	Others	3.403
Others	1.987	Others	2.078
Others	3.686	Others	3.671
Others	2.146	Others	1.917
Others	2.857	Others	2.862
BIOL-BS	2.452	Others	2.404
Others	3.76	Others	3.732
Others	3.613	Others	3.644
Others	2.424	Others	2.378
Others	2.304	Others	2.403
Others	1.821	BIOL-BS	2.029
Others	2.591	Others	2.815
Others	3.529	Others	3.566
Others	2.957	Others	2.926
Others	3.671	Others	3.63
Others	1.878	Others	1.867
Others	2.35	Others	2.292
Others	1.904	Others	1.938
Others	4.0	Others	3.75
Others	2.661	Others	2.632
Others	3.36	Others	3.259
Others	2.828	Others	2.962
Others	0.0	Others	2.636
Others	2.079	Others	2.263
Others	2.493	Others	2.322
Others	2.821	Others	2.809
Others	2.12	BIOL-BS	2.0
BIOL-BS	2.925	Others	2.91
Others	2.583	Others	2.69
Others	2.786	Others	2.889
Others	2.81	Others	2.792
Others	3.082	Others	3.136
Others	4.0	Others	3.786
Others	3.243	Others	3.209
Others	2.429	Others	2.577
Others	3.427	Others	3.416
IT-BS	2.263	Others	2.261
Others	1.772	IT-BS	2.076
Others	2.6	Others	2.667
Others	3.775	Others	3.827
Others	3.315	Others	3.14
Others	2.061	Others	2.207
BIOL-BS	3.217	Others	3.153
Others	2.843	Others	2.898
CS-BS	2.733	Others	2.682
Others	2.257	Others	2.417
Others	3.464	Others	3.513
Others	2.405	Others	2.391
Others	3.548	Others	3.456
BIOL-BS	2.923	Others	3.05
Others	3.4	Others	3.129
Others	2.118	Others	2.255
Others	3.254	BIOL-BS	3.26
Others	2.06	Others	2.115
CS-BS	2.354	Others	2.279
Others	3.12	Others	3.095
MATH-BS	3.684	Others	3.338
Others	2.522	Others	2.972
BIOL-BS	3.412	Others	3.476
Others	3.699	Others	3.671
Others	3.0	Others	2.857
Others	3.464	CS-BS	3.446
CHEM-BS	3.364	BIOL-BS	3.423
CHEM-BS	3.357	BIOL-BS	3.486
Others	0.964	Others	1.028
Others	2.867	Others	2.967
Others	3.449	Others	3.468
Others	2.436	Others	2.457
MATH-BS	2.333	Others	2.552
Others	3.37	Others	3.404
Others	2.03	Others	1.789
Others	3.155	Others	3.283
Others	2.181	Others	2.226
Others	3.541	Others	3.557
Others	2.5	Others	2.481
Others	3.927	Others	3.717
Others	3.523	Others	3.557
Others	2.321	Others	2.097
CS-BS	3.253	Others	3.218
Others	3.38	Others	3.238
Others	1.826	Others	1.303
Others	1.818	Others	0.833
Others	2.941	Others	2.75
Others	2.957	CS-BS	2.889
Others	1.818	Others	1.353
Others	3.333	Others	3.45
Others	2.237	Others	2.064
CHEM-BS	2.741	Others	2.47
Others	3.727	Others	3.5
Others	3.277	Others	3.306
Others	3.203	Others	3.029
Others	2.119	Others	2.093
Others	3.121	Others	3.1
IT-BS	1.941	Others	1.633
Others	2.177	Others	2.158
Others	2.184	Others	2.26
Others	2.929	Others	3.0
Others	2.211	Others	2.217
Others	3.649	Others	3.667
MATH-BS	1.1	Others	1.5
Others	3.1	Others	3.024
Others	1.958	Others	2.159
Others	2.545	Others	2.403
Others	2.125	Others	2.548
Others	0.0	Others	0.818
Others	1.909	Others	2.039
CS-BS	3.627	Others	3.632
Others	2.786	Others	2.276
Others	2.091	Others	1.652
Others	2.667	Others	1.364
Others	3.167	Others	3.115
Others	3.461	Others	3.532
Others	2.146	Others	1.83
BIOL-BS	3.75	Others	3.81
Others	3.224	Others	3.319
Others	3.458	Others	3.429
Others	2.633	Others	2.656
Others	3.609	Others	3.417
Others	2.343	Others	1.918
Others	2.837	Others	2.846
Others	3.333	Others	3.217
Others	3.455	Others	3.348
Others	3.61	Others	3.542
Others	2.05	Others	1.656
Others	3.618	Others	3.614
Others	3.569	Others	3.658
Others	1.838	Others	1.93
Others	3.043	Others	2.983
BIOL-BS	1.3	Others	1.485
Others	3.0	Others	2.559
Others	2.583	Others	2.462
Others	3.182	BIOL-BS	2.81
Others	3.531	CS-BS	3.319
Others	2.7	Others	2.661
Others	3.403	Others	3.393
BIOL-BS	2.708	Others	2.889
Others	1.667	Others	1.111
CS-BS	2.245	Others	2.164
Others	1.692	Others	2.4
Others	2.333	Others	2.49
BIOL-BS	2.449	CS-BS	2.095
Others	2.0	Others	1.882
Others	2.417	Others	2.188
Others	2.462	Others	2.222
Others	2.571	Others	2.125
CHEM-BS	2.485	IT-BS	2.489
Others	1.212	Others	1.381
BIOL-BS	3.2	Others	3.105
Others	2.975	Others	2.977
Others	1.944	Others	2.065
Others	2.917	Others	3.0
BIOL-BS	2.156	Others	2.051
Others	3.093	Others	3.22
Others	2.447	Others	2.24
Others	2.458	Others	2.639
Others	2.571	Others	2.489
CS-BS	0.0	Others	4.0
Others	3.095	Others	3.154
Others	2.308	Others	2.208
Others	2.0	Others	1.895
Others	2.92	Others	2.79
BIOL-BS	1.872	Others	1.855
Others	3.167	Others	3.0
Others	3.022	Others	2.891
Others	1.976	Others	2.414
Others	2.795	Others	2.654
Others	2.538	Others	2.529
Others	1.641	Others	1.373
Others	2.676	Others	2.682
Others	2.174	Others	2.091
Others	1.517	Others	1.585
Others	2.613	Others	2.805
Others	2.5	Others	2.5
Others	2.615	Others	2.235
Others	2.059	Others	2.031
Others	2.267	Others	2.362
Others	2.412	Others	2.688
Others	2.435	Others	2.525
Others	2.5	Others	2.667
Others	2.091	Others	1.857
Others	3.773	Others	3.805
Others	4.0	BIOL-BS	4.0
Others	2.5	Others	2.16
Others	2.972	Others	3.012
CS-BS	1.983	Others	1.648
CHEM-BS	3.714	BIOL-BS	3.754
Others	3.5	Others	2.818
Others	4.0	BIOL-BS	4.0
Others	3.736	Others	3.639
Others	2.037	Others	1.675
Others	3.471	Others	3.455
Others	2.95	Others	2.818
Others	3.457	Others	3.344
Others	2.782	Others	2.529
Others	3.2	Others	3.3
Others	3.4	Others	3.25
Others	3.182	Others	3.048
BIOL-BS	3.893	Others	3.6
Others	3.419	Others	3.273
Others	1.933	Others	1.822
Others	2.294	Others	1.97
BIOL-BS	3.471	Others	3.556
Others	3.571	Others	3.455
Others	2.969	BIOL-BS	3.2
Others	1.214	Others	1.231
BIOL-BS	3.231	Others	3.125
Others	3.357	Others	3.556
Others	2.765	Others	2.759
Others	2.955	Others	2.971
Others	3.357	Others	2.964
BIOL-BS	3.143	Others	3.114
Others	3.375	Others	3.222
Others	3.278	PHYS-BS	3.424
BIOL-BS	2.375	Others	2.643
Others	3.068	Others	2.596
Others	2.1	BIOL-BS	2.156
CS-BS	3.455	MATH-BS	3.361
Others	2.565	Others	2.5
BIOL-BS	1.957	Others	1.457
Others	3.231	Others	2.289
Others	2.593	Others	2.459
Others	2.0	Others	1.294
Others	3.5	Others	3.444
Others	2.529	Others	2.587
Others	2.897	Others	2.897
Others	3.9	Others	3.878
Others	1.739	Others	1.583
Others	3.7	CS-BS	3.477
Others	3.0	Others	2.771
Others	3.3	BIOL-BS	2.535
Others	2.5	Others	2.567
Others	3.032	Others	3.022
Others	3.625	Others	3.745
Others	2.25	Others	1.8
Others	3.889	Others	3.585
Others	2.826	Others	2.862
Others	3.55	Others	3.333
Others	3.143	Others	1.714
Others	2.333	Others	2.216
Others	3.26	Others	3.267
Others	3.851	Others	3.841
Others	3.857	Others	3.727
CS-BS	2.286	Others	2.269
Others	3.1	Others	3.018
Others	2.641	Others	2.407
Others	3.76	Others	3.692
Others	3.239	Others	3.288
Others	2.05	Others	1.96
Others	2.541	Others	2.42
Others	2.423	Others	2.353
Others	2.789	Others	2.87
Others	1.636	Others	1.267
Others	0.0	Others	2.636
Others	3.6	Others	3.6
Others	3.455	Others	3.5
Others	2.364	Others	2.458
Others	3.143	Others	3.077
Others	2.135	Others	1.97
Others	2.0	Others	1.294
Others	3.0	Others	2.5
Others	2.267	Others	2.233
Others	1.902	Others	1.8
Others	2.231	Others	1.966
Others	1.4	Others	0.929
Others	0.0	Others	2.929
Others	1.467	Others	1.357
Others	3.571	Others	3.8
Others	3.0	Others	2.9
Others	3.5	IT-BS	3.0
Others	1.941	Others	1.966
Others	2.267	Others	1.895
Others	2.28	Others	2.152
Others	4.0	Others	4.0
Others	3.391	Others	3.344
Others	3.75	Others	3.714
BIOL-BS	3.4	Others	3.382
Others	1.0	Others	0.829
Others	1.867	Others	1.85
Others	1.545	Others	1.529
Others	1.348	Others	1.914
Others	2.902	Others	2.945
Others	2.071	Others	2.118
CS-BS	3.169	Others	3.146
Others	2.609	Others	2.607
Others	2.909	Others	1.708
Others	2.429	Others	2.692
Others	2.714	Others	2.345
Others	0.0	Others	0.481
BIOL-BS	3.6	Others	3.071
Others	3.0	Others	3.0
Others	3.118	Others	2.655
Others	2.6	Others	1.8
Others	3.182	BIOL-BS	2.56
CS-BS	2.105	IT-BS	1.962
Others	3.182	Others	3.143
Others	2.667	Others	2.233
Others	3.143	Others	2.731
Others	2.0	Others	2.138
Others	3.85	Others	3.833
BIOL-BS	3.324	Others	3.061
CS-BS	2.791	Others	2.87
Others	2.025	Others	2.327
Others	3.0	Others	3.095
Others	2.39	Others	2.245
Others	3.881	Others	3.912
CS-BS	3.143	Others	2.852
Others	1.643	Others	1.692
Others	2.769	Others	2.706
Others	2.0	PHYS-BS	0.522
Others	3.533	Others	2.871
Others	2.5	Others	2.056
Others	2.125	CS-BS	2.65
Others	3.727	Others	2.76
Others	1.727	Others	1.667
Others	2.364	Others	1.6
Others	1.714	Others	1.037
Others	1.857	Others	1.926
Others	2.714	BIOL-BS	2.0
Others	2.067	Others	2.214
Others	2.455	CS-BS	2.087
Others	2.636	IT-BS	1.952
Others	3.471	Others	3.063
BIOL-BS	2.667	Others	2.733
Others	2.0	Others	1.5
Others	3.571	BIOL-BS	3.567
Others	3.786	Others	3.69
Others	1.857	Others	1.567
Others	2.818	IT-BS	2.391
Others	2.909	Others	2.84
BIOL-BS	1.636	Others	2.19
Others	3.286	Others	3.417
Others	3.455	Others	3.111
Others	2.833	Others	1.8
BIOL-BS	2.733	Others	2.429
Others	4.0	BIOL-BS	4.0
Others	1.882	Others	1.346
Others	4.0	Others	2.833
Others	2.15	Others	2.424
Others	3.192	Others	3.211
Others	3.143	Others	1.786
BIOL-BS	3.533	Others	2.933
Others	2.455	Others	2.25
IT-BS	0.0	Others	3.727
Others	0.0	BIOL-BS	3.727
Others	3.85	Others	3.743
Others	3.609	BIOL-BS	3.487
Others	3.294	Others	3.069
Others	2.364	Others	2.333
Others	2.875	Others	2.364
Others	3.571	Others	3.667
Others	0.0	Others	2.5
Others	3.188	Others	3.321
Others	4.0	Others	3.478
Others	3.143	Others	3.444
Others	1.333	Others	0.667
Others	3.571	Others	3.444
Others	2.786	Others	3.037
BIOL-BS	2.5	Others	2.59
Others	3.1	Others	2.667
Others	3.222	Others	3.125
BIOL-BS	2.25	Others	2.429
Others	3.8	Others	3.548
Others	0.0	Others	2.909
Others	3.4	Others	3.364
CS-BS	2.786	Others	2.133
Others	2.091	IT-BS	1.391
Others	2.929	Others	2.963
Others	3.571	Others	3.069
Others	2.067	Others	1.517
Others	3.625	BIOL-BS	3.684
Others	0.214	Others	0.462
Others	1.875	Others	1.929
Others	3.48	Others	3.23
Others	2.933	Others	2.367
Others	2.0	Others	1.875
Others	2.273	Others	2.261
BIOL-BS	2.583	Others	2.593
Others	3.182	Others	2.781
Others	2.909	Others	2.8
CS-BS	2.714	Others	2.9
Others	3.25	Others	2.167
CS-BS	3.571	Others	3.143
Others	3.172	Others	3.172
Others	2.0	Others	1.0
Others	0.0	Others	0.625
Others	3.455	Others	3.25
Others	1.636	Others	2.0
Others	2.208	Others	2.262
Others	2.5	Others	1.217
Others	3.4	Others	2.556
Others	3.925	BIOL-BS	3.942
Others	3.467	Others	3.271
BIOL-BS	0.286	Others	0.333
Others	3.0	Others	3.214
Others	4.0	Others	3.8
Others	3.571	Others	3.625
Others	3.432	Others	3.564
Others	3.0	Others	3.0
Others	1.742	Others	1.905
Others	3.571	BIOL-BS	3.444
Others	2.182	Others	2.333
Others	0.5	Others	0.364
Others	2.545	Others	1.739
CS-BS	1.571	Others	1.769
Others	3.948	Others	3.921
Others	2.77	Others	2.878
Others	2.479	Others	2.41
Others	3.409	BIOL-BS	3.579
Others	3.143	Others	2.111
BIOL-BS	3.571	Others	3.4
Others	2.278	Others	2.241
PHYS-BS	1.333	Others	1.438
Others	2.8	Others	2.52
BIOL-BS	3.5	Others	3.077
BIOL-BS	3.25	CHEM-BS	2.8
CS-BS	3.192	Others	3.049
Others	2.0	Others	2.4
CHEM-BS	2.962	MATH-BS	2.439
Others	3.357	CHEM-BS	3.321
CHEM-BS	1.909	Others	1.111
Others	2.714	PHYS-BS	2.542
Others	2.929	Others	2.667
Others	2.722	Others	1.774
BIOL-BS	3.231	Others	3.103
Others	2.333	Others	1.556
Others	2.091	Others	2.409
Others	2.714	Others	2.7
Others	1.909	Others	1.292
Others	3.7	Others	3.222
Others	2.286	Others	2.241
BIOL-BS	2.182	Others	1.0
Others	2.1	Others	2.174
BIOL-BS	3.0	Others	2.935
Others	3.182	Others	3.25
Others	2.833	PHYS-BS	2.817
PHYS-BS	1.0	Others	0.471
Others	2.636	Others	2.846
Others	2.909	Others	2.792
BIOL-BS	2.636	Others	1.857
Others	3.429	BIOL-BS	3.6
Others	2.909	Others	2.556
Others	3.917	Others	3.878
Others	3.727	Others	3.294
Others	2.833	Others	1.762
Others	1.727	Others	1.762
Others	2.647	Others	2.379
Others	1.8	Others	1.393
Others	3.4	Others	3.531
Others	1.5	Others	1.926
Others	2.214	Others	2.033
Others	2.077	Others	1.5
Others	3.333	IT-BS	3.484
Others	2.625	Others	2.167
Others	0.0	Others	0.842
Others	3.0	Others	2.481
Others	1.417	Others	0.833
Others	4.0	Others	3.609
Others	3.357	BIOL-BS	2.552
Others	1.286	Others	1.6
Others	2.0	Others	2.13
Others	3.143	Others	3.033
Others	1.455	Others	1.1
Others	2.759	Others	2.422
Others	1.25	Others	1.533
BIOL-BS	3.357	Others	3.538
Others	2.636	Others	2.565
IT-BS	0.0	Others	1.429
CHEM-BS	0.0	Others	0.182
Others	0.0	Others	4.0
Others	3.133	Others	3.226
Others	0.0	BIOL-BS	1.909
CHEM-BS	3.313	BIOL-BS	2.586
Others	3.357	Others	3.323
Others	2.737	Others	2.772
Others	2.364	Others	1.913
Others	2.182	Others	2.4
Others	2.467	Others	1.917
CHEM-BS	1.8	Others	2.222
Others	2.289	Others	2.156
Others	2.5	Others	2.333
Others	0.0	IT-BS	0.0
Others	2.468	Others	2.475
IT-BS	3.333	Others	2.5
Others	2.418	Others	2.321
CHEM-BS	2.5	BIOL-BS	1.68
Others	4.0	Others	3.818
BIOL-BS	1.125	Others	0.682
Others	2.19	Others	2.083
Others	2.909	Others	2.174
BIOL-BS	2.867	Others	1.931
Others	2.636	Others	2.429
Others	0.0	BIOL-BS	1.182
Others	1.786	BIOL-BS	1.5
Others	3.178	Others	3.295
PHYS-BS	4.0	Others	3.368
Others	2.0	Others	1.25
Others	3.357	Others	3.111
BIOL-BS	0.364	Others	0.929
Others	0.0	Others	3.182
CS-BS	4.0	Others	3.893
Others	2.5	Others	2.059
CS-BS	2.88	Others	2.775
Others	3.75	Others	3.4
Others	2.091	Others	1.926
CS-BS	3.143	BIOL-BS	2.667
Others	3.143	BIOL-BS	3.111
Others	2.8	Others	2.5
Others	3.182	Others	3.1
Others	2.714	Others	2.8
Others	1.769	Others	1.682
BIOL-BS	2.833	Others	3.148
CS-BS	3.75	Others	3.76
BIOL-BS	2.909	Others	1.778
Others	0.0	BIOL-BS	3.182
CS-BS	2.105	Others	2.364
Others	2.571	Others	2.316
Others	2.545	Others	2.559
Others	2.182	Others	1.95
Others	1.143	Others	0.552
Others	2.545	Others	2.913
Others	3.75	Others	2.655
BIOL-BS	3.533	Others	1.893
IT-BS	2.455	Others	2.208
Others	2.675	Others	2.692
BIOL-BS	2.625	Others	1.167
Others	3.667	Others	2.364
Others	3.222	Others	2.708
Others	1.636	Others	1.636
Others	2.8	Others	2.444
Others	2.5	Others	1.882
Others	2.636	BIOL-BS	2.417
Others	0.0	Others	1.818
BIOL-BS	0.0	Others	4.0
Others	1.889	Others	1.923
Others	2.439	Others	2.34
Others	3.571	Others	3.276
Others	3.129	Others	3.106
Others	2.364	Others	2.174
Others	0.75	Others	1.05
Others	3.4	Others	3.4
Others	3.292	Others	3.393
Others	0.0	Others	3.625
Others	3.727	Others	3.571
Others	2.571	Others	3.233
Others	0.273	Others	0.143
Others	3.786	Others	3.8
Others	0.0	Others	1.222
Others	0.75	Others	0.545
BIOL-BS	1.545	Others	1.52
CS-BS	1.636	Others	1.636
Others	0.0	Others	1.929
Others	2.636	Others	2.696
Others	3.515	Others	3.461
Others	2.67	Others	2.741
Others	2.097	Others	2.288
Others	0.0	BIOL-BS	2.727
Others	0.636	CS-BS	0.962
Others	0.0	PHYS-BS	1.5
BIOL-BS	2.286	Others	2.222
Others	3.183	Others	3.236
Others	2.909	Others	3.375
Others	2.913	Others	2.741
Others	1.75	Others	2.05
BIOL-BS	2.0	Others	1.375
Others	3.25	Others	2.696
BIOL-BS	2.75	Others	2.6
Others	2.73	Others	2.848
CHEM-BS	2.2	BIOL-BS	1.222
Others	4.0	Others	2.75
Others	0.0	Others	3.727
Others	3.558	PHYS-BS	3.6
Others	0.0	Others	4.0
CS-BS	1.857	Others	2.481
Others	3.1	BIOL-BS	3.25
Others	3.158	BIOL-BS	3.186
Others	3.186	Others	3.19
Others	2.194	Others	2.432
CS-BS	1.982	Others	1.983
